"","X","SiteID","Longitude.y","Latitude.x","Month","Year","Examined","Pf_pos","Pf_per","AvgTemp","MaxTemp","Precip","ALAN","PopDens","AGambiae","ALAN.lg","ALAN.trans"
"97",97,880906,27.4273,-16.8072,4,2016,62,0,0,21.70000076,27.84464645,146.4603882,0.000458495,28.00238991,0.104216013,-0.329295039747381,-1.11288846535186
"98",98,880906,27.4244,-16.806,4,2014,60,33,0.55,21.60000038,27.52745819,102.6427765,0.00053143,28.00238609,0.104216013,-0.266457684151966,-1.09151797755855
"99",99,880874,27.2562,-16.7782,4,2015,22,0,0,20.60000038,26.41470909,106.9500122,0.01878109,28.00238991,0.077205379,1.27395197261013,-0.575426402048717
"100",100,880874,27.2488,-16.7705,4,2014,40,1,0.025,20.60000038,26.49838066,100.0340958,0.02264791,28.00238419,0.055549332,1.35521984739284,-0.548323956490737
"101",101,880874,27.2559,-16.7697,4,2016,45,0,0,20.5,26.81488228,142.5092468,0.01768978,28.00238609,0.077205379,1.24796786831775,-0.584092522728606
"102",102,880850,27.1016,-16.7564,4,2015,38,0,0,20.5,26.3786087,102.3506165,0.00912625,22.51675606,0.188269317,0.960767974892029,-0.679902546183719
"103",103,880850,27.3784,-16.7559,4,2016,39,0,0,21.10000038,27.51700783,143.1082611,0.001053361,28.00238609,0.204443515,0.026680728015595,-0.992474255049722
"104",104,880850,27.3848,-16.7555,4,2014,49,4,0.0816,21.10000038,27.21162605,102.2809525,0.000968432,28.002388,0.204443515,-0.00946935196915639,-1.00464362285172
"105",105,880825,27.101,-16.7535,4,2014,50,1,0.02,20.5,26.44649124,97.5629425,0.008434471,22.51675606,0.188269317,0.926572448581177,-0.691314050218208
"106",106,880825,27.1023,-16.7507,4,2016,50,0,0,20.5,26.75065804,136.4900665,0.008434471,22.51675606,0.188269317,0.926572448581177,-0.691314050218208
"107",107,880825,27.3794,-16.7495,4,2015,50,2,0.04,21.10000038,27.0180912,106.5426102,0.001062189,28.00238609,0.22136818,0.0302713473177466,-0.991266066811758
"108",108,880937,27.8989,-16.7487,4,2016,57,4,0.0702,25.5,31.43528366,113.0980988,0.000217964,21.15511894,0.53190996,-0.642133731226691,-1.22053841022419
"109",109,880937,27.9235,-16.7474,4,2014,43,28,0.6512,25.29999924,31.18992615,83.40314484,0.000221084,21.15511894,0.219236808,-0.636230123548435,-1.21848089549072
"110",110,880937,27.9025,-16.7466,4,2015,46,11,0.2391,25.39999962,31.00316429,96.37149811,0.000218855,21.15511894,0.53190996,-0.640439594712809,-1.21994784232302
"111",111,840975,35.2727,-16.7035,4,2010,48,4,0.0833,26.70000076,32.95331955,81.48758698,0.00043333,152.9131927,0.496140929,-0.353272879136897,-1.12106041438415
"112",112,880828,27.5423,-16.6947,4,2014,54,15,0.2778,21.79999924,27.68546867,99.52978516,0.000385868,28.00238609,0.117544321,-0.402449603034623,-1.13785374531309
"113",113,880828,27.5371,-16.6869,4,2016,53,0,0,21.70000076,27.83462715,134.5614471,0.000402304,28.00238609,0.138393999,-0.384782451835797,-1.13181521644485
"114",114,880828,27.5179,-16.6834,4,2015,51,0,0,21.60000038,27.42212868,106.5906601,0.000415681,28.00238419,0.138393999,-0.370915733847542,-1.12707994194251
"115",115,880970,27.3114,-16.6792,4,2016,49,0,0,20.5,26.73792648,136.1284943,0.001499527,28.00238991,0.10646689,0.178840885392335,-0.941348570022515
"116",116,880970,27.3089,-16.6763,4,2015,52,0,0,20.5,26.32542801,104.2076645,0.001444125,28.00238991,0.10646689,0.162601741101327,-0.94679840454985
"117",117,880970,27.3124,-16.6745,4,2014,49,1,0.0204,20.5,26.42542839,99.17606354,0.001444125,28.002388,0.10646689,0.162601741101327,-0.94679840454985
"118",118,880849,27.797,-16.6438,4,2014,34,5,0.1471,24.60000038,30.30854416,90.26860046,0.000338801,21.15511703,0.219156786,-0.457422278630929,-1.1566851054941
"119",119,880849,27.8092,-16.6384,4,2016,40,0,0,24.5,30.63927269,117.39431,0.00033431,21.15511703,0.219156786,-0.463050363639355,-1.15861687748055
"120",120,880849,27.8138,-16.6244,4,2015,36,2,0.0556,24.29999924,29.97599411,97.14979553,0.000351857,21.15512085,0.130210439,-0.441463021678335,-1.15121126816754
"121",121,880954,28.144,-16.6128,4,2016,55,8,0.1455,25.39999962,31.3785553,94.87081909,0.000357652,21.15511894,0.444977282,-0.434563067155586,-1.14884644734195
"122",122,880954,28.1461,-16.6109,4,2014,32,18,0.5625,25.39999962,30.99331093,74.46324158,0.000366566,21.15511894,0.444977282,-0.424158894831764,-1.14528260650263
"123",123,880954,28.116,-16.6083,4,2015,43,10,0.2326,25.20000076,30.7696476,87.82668304,0.000362109,21.15511894,0.183249612,-0.429329825804672,-1.14705356030746
"124",124,880892,27.5754,-16.582,4,2015,38,0,0,21.39999962,26.86090469,101.7407227,0.001102931,28.002388,0.106262161,0.0464682395834371,-0.985817218807814
"125",125,880892,27.58,-16.5807,4,2014,50,0,0,21.39999962,26.96090508,96.49563599,0.001102931,28.002388,0.106262161,0.0464682395834371,-0.985817218807814
"126",126,880892,27.5808,-16.5735,4,2016,39,0,0,21.5,27.29840469,125.4733276,0.001245153,28.00238419,0.106262161,0.0986966684510824,-0.968259093572769
"127",127,880968,28.435,-16.5487,4,2016,36,3,0.0833,25.29999924,31.0331459,80.44733429,0.000996667,31.47109032,0.408540486,0.00288583204358421,-1.00048330704876
"128",128,880968,28.4383,-16.5391,4,2014,39,24,0.6154,25.29999924,30.7016964,64.18019867,0.001038726,31.47109032,0.339905609,0.0206620351603989,-0.99449966585483
"129",129,880968,28.4504,-16.5299,4,2015,26,2,0.0769,25.29999924,30.60169601,80.19794464,0.001241286,31.47109032,0.339905609,0.0973565854935205,-0.968709380942391
"130",130,880831,28.6928,-16.5203,4,2014,40,3,0.075,25.29999924,30.5256958,59.26944733,0.07814977,31.47109032,0.77817222,1.89298327271842,-0.369024098600207
"131",131,880831,28.6958,-16.5186,4,2015,37,0,0,25.29999924,30.42569542,80.28875732,0.07814977,31.47109032,0.77817222,1.89298327271842,-0.369024098600207
"132",132,880831,28.6938,-16.5177,4,2016,32,2,0.0625,25.29999924,30.96579742,77.71759796,0.07814977,31.47109032,0.77817222,1.89298327271842,-0.369024098600207
"133",133,880922,28.7472,-16.504,4,2015,25,0,0,24.39999962,30.17369461,81.60312653,0.09907982,31.47108841,0.646354107,1.99602903950122,-0.334671597025227
"134",134,880922,28.7471,-16.503,4,2014,27,0,0,24.39999962,30.27369499,59.36295319,0.09907982,31.47108841,0.646354107,1.99602903950122,-0.334671597025227
"135",135,880922,28.3866,-16.4879,4,2014,47,43,0.9149,25.10000038,30.78430748,65.38922882,0.000760853,31.47109604,0.456344055,-0.113028433071807,-1.03956641421517
"136",136,880957,28.387,-16.4872,4,2016,42,14,0.3333,25.10000038,31.20010567,81.45376587,0.000794214,31.47109604,0.456344055,-0.0946283708379025,-1.03335415389422
"137",137,880934,27.9724,-16.4845,4,2016,29,1,0.0345,24.39999962,30.65979385,97.42562103,0.000537919,21.15511894,0.280678448,-0.261283639422772,-1.08976103853341
"138",138,880957,28.3939,-16.4838,4,2015,23,7,0.3043,25.10000038,30.6843071,79.88246155,0.000869118,31.47109032,0.456344055,-0.0559528276459073,-1.02030708515393
"139",139,880976,28.0936,-16.4787,4,2016,47,0,0,24.89999962,31.02495193,89.95954895,0.000567076,21.15511703,0.367236033,-0.23876698717861,-1.08211957756553
"140",140,880976,27.9688,-16.4783,4,2014,31,2,0.0645,24.29999924,30.28462029,78.56121826,0.000555014,21.15511894,0.280678448,-0.247940791034687,-1.08523202061312
"141",141,880976,28.0924,-16.4779,4,2015,35,2,0.0571,24.89999962,30.53832054,82.73756409,0.000567076,21.15511703,0.367236033,-0.23876698717861,-1.08211957756553
"142",142,880934,27.9685,-16.477,4,2015,24,0,0,24.29999924,30.1846199,86.84729004,0.000555014,21.15511894,0.280678448,-0.247940791034687,-1.08523202061312
"143",143,880934,28.0884,-16.4701,4,2014,41,0,0,24.89999962,30.63832092,72.87805176,0.000583574,21.15512085,0.367236033,-0.226525130478064,-1.07796802183005
"144",144,880971,28.5334,-16.4619,4,2016,32,0,0,25.20000076,31.26964569,78.41734314,0.002256828,31.47109222,0.539288885,0.355418568434956,-0.882167179539037
"145",145,880971,28.5262,-16.4516,4,2015,33,0,0,25.20000076,30.65491867,78.01781464,0.002107462,31.47109413,0.490477579,0.325815625218379,-0.892080082489701
"146",146,880971,28.5253,-16.4479,4,2014,56,24,0.4286,25.10000038,30.75491905,62.23497009,0.002107462,31.47108841,0.490477579,0.325815625218379,-0.892080082489701
"147",147,880842,28.702,-16.4214,4,2014,46,5,0.1087,25.20000076,30.87891579,58.60118484,0.008265473,31.47109032,0.346994019,0.917792826063371,-0.694244096147719
"148",148,2132774,26.9015,-16.401,11,2013,21,0,0,24.39999962,31.93345451,18.34316635,0.000409901,22.51675415,0.061453985,-0.376853091082554,-1.12910700739051
"149",149,880842,28.7282,-16.3985,4,2016,27,1,0.037,25.20000076,31.37740898,72.6500473,0.005214751,31.47108841,0.508917567,0.718065597768203,-0.760922141313585
"150",150,880905,27.8436,-16.3976,4,2015,42,0,0,22.5,28.16642189,89.84819794,0.000875658,56.7697525,0.267900006,-0.052733950106817,-1.01922182675447
"151",151,880980,28.2884,-16.3974,4,2016,37,3,0.0811,24.39999962,30.69248009,82.41148376,0.000917634,31.47109032,0.432627267,-0.0326233418130751,-1.01244350113745
"152",152,880980,28.2995,-16.3971,4,2014,52,38,0.7308,24.70000076,30.56553078,67.59410095,0.000925954,31.47109032,0.278167831,-0.0287454953186094,-1.01113686262596
"153",153,880905,27.8511,-16.3932,4,2014,51,2,0.0392,22.5,28.26642227,84.37401581,0.000931142,56.76975632,0.267900006,-0.0263448450490352,-1.01032802788848
"154",154,880980,28.3002,-16.3921,4,2015,29,0,0,24.79999924,30.4655304,79.09662628,0.001025048,31.47109032,0.278167831,0.0149604905192724,-0.996418599130533
"155",155,880842,28.728,-16.3916,4,2015,40,0,0,25.29999924,30.80952835,76.47010803,0.004917576,31.47109032,0.508917567,0.692633331302792,-0.769416306478654
"156",156,880905,27.8578,-16.3853,4,2016,36,0,0,22.70000076,28.64333153,102.8104172,0.001010153,54.07814789,0.267900006,0.00866531104887869,-0.998537614011935
"157",157,840968,34.7929,-16.336,4,2010,63,7,0.1111,26.89999962,32.93428421,64.96392822,0.004301618,249.0684967,0.745061415,0.634640276334275,-0.788789386411348
"158",158,880973,28.0283,-16.3176,4,2016,39,1,0.0256,21.89999962,27.63928223,94.48435211,0.001604032,35.93313599,0.064353561,0.207912140848043,-0.931595657303072
"159",159,2114924,26.9016,-16.3106,1,2013,20,1,0.05,22.70000076,28.19715691,241.4586029,0.000294358,22.51675415,0.09551592,-0.516615278401877,-1.17704138550902
"160",160,880973,28.0543,-16.3095,4,2015,50,0,0,21.89999962,27.23878098,85.82102203,0.001609403,25.29627419,0.104844794,0.209354939486436,-0.931111731154583
"161",161,880973,28.0421,-16.3063,4,2014,45,4,0.0889,21.60000038,27.33878136,78.7377243,0.001608636,30.66566467,0.104844794,0.209149195285177,-0.931180738786027
"162",162,880814,28.3869,-16.2994,4,2014,56,23,0.4107,24.70000076,30.59875107,63.41083908,0.001607389,31.47108841,0.313713769,0.208814485110973,-0.931293002682415
"163",163,880814,28.3961,-16.2991,4,2016,36,1,0.0278,24.79999924,31.02427101,74.95410156,0.001607389,31.47108841,0.313713769,0.208814485110973,-0.931293002682415
